Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL1361446,C=C[C@H](N)CCC(=O)O,
CHEMBL1429153,CS(=O)(=O)N1CCCC(C(=O)N2CCC3(CC2)OCCO3)C1,
CHEMBL1372696,CCCCOC(=O)Nc1cccc(C(=O)OCC)c1,
CHEMBL1741818,CCOC(=O)N1CCN(C(=O)c2ccc(NC(C)=O)cc2)CC1,
CHEMBL1373428,COc1ccccc1-c1nccc(NC2CCNCC2)n1,
CHEMBL1950081,,
CHEMBL1807440,Cc1ccc(NC(=O)c2cc(F)cc(N3CCOCC3)c2)cc1Nc1ncnn2cc(C(=O)c3ccccc3)c(C)c12,6.33
CHEMBL1949930,,
CHEMBL1779542,Cc1c2c(n3c1CCN1CCC[C@@H]1CNc1cc-3ccc1C(N)=O)CC(C)(C)CC2=O,
CHEMBL1390531,CCC(=O)Nc1cccc(-c2nc3ccccc3c(=O)o2)c1,4.55
CHEMBL1169388,CNCC[C@H](Oc1ccc(C(F)(F)F)cc1)c1ccccc1,4.8
CHEMBL1320000,Cc1ccc(-c2csc(C(C#N)=C3CCCC3)n2)cc1,4.7
CHEMBL3236638,CC(C)(C)S(=O)(=O)C[C@H](C1CC1)N1C(=O)[C@@](C)(Cc2ccccc2)C[C@H](c2cccc(Cl)c2)[C@H]1c1ccc(Cl)cc1,5.77
CHEMBL1458664,Cc1ccc(-c2cc(C(=O)NCc3ccco3)c3ccccc3n2)s1,5
CHEMBL1355978,CCC[C@@H]1O[C@@H]2C[C@@H]3[C@H]4CCC5=CC(=O)C=C[C@@]5(C)[C@H]4[C@H](O)C[C@@]3(C)[C@@]2(C(=O)CO)O1,5.3
CHEMBL1169505,N[C@H](CCCC(=O)O)C(=O)O,
CHEMBL1347770,CC(=O)c1cc(C#N)c(Oc2cccc(C(F)(F)F)c2)nc1C,
CHEMBL1442126,COc1cccc(C2C3(C#N)C(N)=NC(OC)(OC)C23C#N)c1,
CHEMBL1549796,Cc1nc2ccccn2c1C(=O)C1=C(O)C(=O)N(CCN2CCOCC2)C1c1cccnc1,
CHEMBL1437974,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@](C)(O)[C@H]3C[C@@H]12.CS(=O)(=O)O,
CHEMBL1201237,CC(C)(C)NC[C@H](O)COc1cccc2c1CCCC2=O,
CHEMBL1380899,O=C(Nc1cccnc1)C1COc2ccccc2O1,
CHEMBL1496013,O=C(O)c1cccc(CN2CCCCC2)c1,
CHEMBL1552028,COc1ccc(-c2nc3cnc(N4CCN(C)CC4)nc3n(-c3ccc(OC)cc3)c2=O)cc1,
